zipcode,mediansalary,Pop
4860,39777,"1,573"
4861,51006,"3,732"
4862,50409,"3,496"
4863,46141,"1,231"
4864,51006,"3,793"
4901,41373,"25,900"
4910,51488,"1,946"
4911,36555,"2,135"
4912,33848,873
4915,39499,"8,468"
4917,56379,"2,528"
4918,56379,448
4920,32343,"1,808"
4921,38687,"1,505"
4922,35360,"1,142"
4923,41800,506
4924,43807,"2,026"
4925,33194,110
4926,53673,55
4927,34338,"3,340"
4928,36417,"2,144"
4929,36984,778
4930,37600,"4,275"
4932,47500,"1,065"
4933,35104,7
4936,37237,234
4937,46685,"6,477"
4938,38553,"9,200"
4939,41490,986
4940,37989,115
4941,42859,"1,646"
4942,33171,"1,324"
4943,32136,"1,827"
4944,46685,42
4945,3738,119
4949,37682,927
4950,35270,"4,523"
4951,38687,888
4952,37682,"1,595"
4953,35113,"3,007"
4955,40305,"1,262"
4956,42431,725
4957,42009,"4,135"
4958,34788,"1,905"
4961,35321,"1,031"
4962,50389,141
4963,47082,"6,929"
